PointName,TouristZone,PointType,ServiceClass,Latitude,Longitude,OpenDate,CloseDate,DaysMax,DaysMin,TouristsCount,AvPointPrice,NeedGuide,WorkersCount,TransportType,Tourists2022,Tourists2021,Tourists2020,Tourists2019,Tourists2018,Tourists2017,Tourists2016
Свято-Богоявленский Кожеозерский монастырь,Онежский район,Достопримечательность,Недифференцирован,63.158198, ,38.083091,круглогодично,круглогодично,1,1, , ,нет, ,Водный,,,,,,,
Дом пинежской прялки,Пинежский район,Музей,Недифференцирован,64.683739,, 43.385266,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Карпогорский районный Дом народного творчества,Пинежский район,Этнический центр,Недифференцирован,63.999392, ,44.442234,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Музей Карста,Пинежский район,Музей,Недифференцирован,64.848395,, 44.076387,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Свято-Артемиево-Веркольский Мужской монастырь,Пинежский район,Достопримечательность,Недифференцирован,63.797673,, 45.160274,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Семейный музей Абрамовых (Семейный музей в доме брата Ф. Абрамова – Михаила),Пинежский район,Музей,Недифференцирован,63.803191, ,45.139203,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Сурский Иоанновский женский монастырь,Пинежский район,Достопримечательность,Недифференцирован,63.576403, ,45.636010,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Церковь Покрова Пресвятой Богородицы в д. Шотова,Пинежский район,Достопримечательность,Недифференцирован,64.012063, ,44.337733,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Коношский краеведческий музей,пос. Коноша,Музей,Недифференцирован,60.974465, ,40.254381,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Коношский районный краеведческий музей,пос. Коноша,Музей,Недифференцирован,60.974429, ,40.254307,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Музейно-выставочное пространство ""Иосиф Бродский в Норенской""",пос. Коноша,Музей,Недифференцирован,60.934555, ,40.674706,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"""Малые Корелы"", музей деревянного зодчества",Приморский район,Музей,Недифференцирован,64.453161, ,40.945090,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Аэропорт-музей в деревне Лопшеньга,Приморский район,Музей,Недифференцирован,64.984324, ,37.710701,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Дом Сени Малины,Приморский район,Достопримечательность,Недифференцирован,64.477736, ,40.873168,круглогодично,круглогодично,1,1, , ,нет, ,Самолет,,,,,,,
Музей Лоцманской славы,Приморский район,Достопримечательность,Недифференцирован,64.595441, ,40.437487,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Музей народных промыслов и ремесел Приморья,Приморский район,Музей,Недифференцирован,64.477552, ,40.847891,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Музей поморской варежки,Приморский район,Музей,Недифференцирован,64.416813, ,40.806877,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Санаторий ""Беломорье""",Приморский район,Санаторий,Недифференцирован,64.294588,40.888114,круглогодично,круглогодично,15,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Свято-Троицкий Антониево-Сийский мужской монастырь,Приморский район,Достопримечательность,Недифференцирован,63.581279, ,42.090065,круглогодично,круглогодично,1,1,251,2500,нет,30,Автомобиль, автобус,,,,,,,
Храм Вознесения Господня,Приморский район,Достопримечательность,Недифференцирован,64.577047, ,40.341310,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Храмовый ансамбль в селе Нёнокса,Приморский район,Достопримечательность,Недифференцирован,64.620519, ,39.191683,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Яреньгский музей «Поморская изба»,Приморский район,Достопримечательность,Недифференцирован,66.706467, ,34.625890,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Остров Ягры,Северодвинск,Обзорная площадка,Недифференцирован,64.618820,, 39.825897,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Северодвинский драматический театр,Северодвинск,театр,Недифференцирован,64.551727,, 39.795789,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Северодвинский краеведческий музей,Северодвинск,Музей,Недифференцирован,64.623892, ,39.281036,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Голгофо-Распятский скит,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.146848, ,36.048290,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Каменные лабиринты на Большом Соловецком острове,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.091927,, 35.703791,круглогодично,круглогодично,1,1, , ,нет, ,Самолет,,,,,,,
Каменные лабиринты на о. Анзерский (Соловецкие острова),Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.158180,, 36.067384,круглогодично,круглогодично,1,1, , ,нет, ,Самолет,,,,,,,
Каменные лабиринты на о. Большой Заяцкий (Соловецкие острова),Соловецкий Архипелаг,Достопримечательность,Недифференцирован,64.971069, ,35.674754,круглогодично,круглогодично,1,1, , ,нет, ,Самолет,,,,,,,
Савватиевский скит,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.117688, ,35.605541,круглогодично,круглогодично,1,1, , ,нет, ,Самолет,,,,,,,
Свято-Троицкий Анзерский скит,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.161048, ,36.015218,круглогодично,круглогодично,1,1, , ,нет, ,Самолет,,,,,,,
Соловецкий кремль,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.028143, ,35.713637,круглогодично,круглогодично,15,1, , ,нет, ,Самолет,,,,,,,
Соловецкий морской музей,Соловецкий Архипелаг,Музей,Недифференцирован,65.024364, ,35.705865,круглогодично,круглогодично,1,1, , ,нет, ,Самолет,,,,,,,
Центральный ансамбль Соловецкого монастыря,Соловецкий Архипелаг,Достопримечательность,Недифференцирован,65.024281, ,35.717365,круглогодично,круглогодично,1,1, , ,нет, ,Самолет,,,,,,,
Благовещенский собор (XVI в.), экспозиционный комплекс,Сольвычегодск,Музей,Недифференцирован,61.327791, ,46.924626,круглогодично,круглогодично,1,1, , ,нет, ,Самолет,,,,,,,
Введенский собор,Сольвычегодск,Достопримечательность,Недифференцирован,61.333007, ,46.928389,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Дом купцов Пьянковых (I пол. XIX в.),Сольвычегодск,Музей,Недифференцирован,61.331277, ,46.932067,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Литературная усадьба и музей Козьмы Пруткова,Сольвычегодск,Достопримечательность,Недифференцирован,61.331288, ,46.929015,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Музей политической ссылки (музей И.В. Сталина),Сольвычегодск,Музей,Недифференцирован,61.331951, ,46.934791,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Санаторий ""Сольвычегодск""",Сольвычегодск,Санаторий,Недифференцирован,61.331642, ,46.931559,круглогодично,круглогодично,15,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Сольвычегодский историко-художественный музей,Сольвычегодск,Музей,Недифференцирован,61.330122, ,46.931293,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Экспозиционно-выставочный комплекс ""Дом купцов Хаминовых""",Сольвычегодск,Музей,Недифференцирован,61.330416, ,46.928978,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Этнографический комплекс «Мастерская народных ремесел»,Сольвычегодск,Этнический центр,Недифференцирован,61.333295, ,46.931113,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"""Малиновка"", Центр активного отдыха",Устьянский район,Горнолыжный курорт,Недифференцирован,61.124728,,43.357443,круглогодично,круглогодично,15,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Устьянский краеведческий музей,Устьянский район,Музей,Недифференцирован,61.090365, ,43.162053,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Устьянский центр народного творчества,Устьянский район,Этнический центр,Недифференцирован,61.111688, ,43.292886,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Историко-мемориальный музей М.В. Ломоносова,Холмогорский район,Достопримечательность,Недифференцирован,64.230249,41.733645,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Село Ломоносово,Холмогорский район,Достопримечательность,Недифференцирован,64.229381,, 41.732359,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Фабрика Холмогорской резьбы по кости,Холмогорский район,Этнический центр,Недифференцирован,64.230262, ,41.733516,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Церковь Димитрия Солунского, с. Ломоносово,Холмогорский район,Достопримечательность,Недифференцирован,64.231626,,41.739181,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Шенкурский районный краеведческий музей,Шенкурский район,Достопримечательность,Недифференцирован,62.103525, ,42.902558,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
,,,,,,,,,, , ,нет, ,Автомобиль, автобус,,,,,,,
