Location;Name;InfType;WorkersCount;OpenData;CloseDate;Tourists;AvPrice;Tourists2022;Tourists2021;Tourists2020;Tourists2019;Tourists20218;Tourists2017;Tourists2016
"Городской округ ""Город Архангельск""";"Лобби-бар ""SVETSKY""";бар;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Друзья"" в ТЦ ""Грин""";бар;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Крым""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар-магазин ""Гастрономика""";Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Рыжий Ёж""";бар;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Казацкая слобода""";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Рататуй""";Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Neon""";бар;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Рекольтант""";бар;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Поморский дворик»;Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Шашлыки по-армянски»;Кафе;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Лимпопо»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Марианна»;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Кафе Таун»;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Блин Виль»;Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе « Полина»;Кафе;30;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе KONO Pizza;Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Городское кафе ""Buffet"" ";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Анров""";Кафе;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Пивной бар ""Alter Bayer"" ";бар;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе  « Старое место»;Кафе;11;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Арда»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Бакинский бульвар""";Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Купе""";Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Терраса» ;Кафе;25;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Темпл-бар» ;Кафе;18;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""OMNOMNOM""";бар;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кофе-бар ""Scandinavia""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-кондитерская «Птеродактиль»  ;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Вкусно и точка» ;Кафе;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Бургер Кинг» ;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""KFC"" ";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе быстрого питания «Вкусно и точка» ;Кафе;20;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «IRIS» ;Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Фудмолл ""Рестопорт""";Кафе;150;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Баблс""";Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Дон Гальяно""";бар;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Starfoods"" ";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Шоколад"" ";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Мангал""";Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-кондитерская «Венский пекарь»;Кафе;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Оливье»;Кафе;35;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе Inferno Lounge;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Санта Паста»;Кафе;22;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Грядка Фэмили»;Кафе;40;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Гастрокафе ""Хочу лето""";Кафе;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе быстрого питания «Сытно и вкусно»;Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе-столовая ""Кухмистерская""";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе-пекарня ""Крым""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе-галерея ""Степановъ""";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
